Date : 2022-08-02 16:01:19
Directory : /Volumes/Macintosh HD – data/ownProjects/captureit/src
Total : 80 files,  3640 codes, 221 comments, 358 blanks, all 4219 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Button/IconButton.js                                 | JavaScript |        125 |          0 |          6 |        131 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/ConditionalWrapper/ConditionalWrapper.js             | JavaScript |          3 |          0 |          2 |          5 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Container/Container.js                               | JavaScript |         22 |          0 |          5 |         27 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Header/Header.js                                     | JavaScript |        137 |          0 |          8 |        145 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Icon/Icon.js                                         | JavaScript |         50 |          0 |          7 |         57 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Input/Input.js                                       | JavaScript |         66 |          0 |          9 |         75 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Modal/Modal.js                                       | JavaScript |         41 |          0 |          3 |         44 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Slider/Slider.js                                     | JavaScript |         34 |          0 |          2 |         36 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Spacer/Spacer.js                                     | JavaScript |         26 |          0 |          5 |         31 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Text/Text.js                                         | JavaScript |        103 |          0 |         12 |        115 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/index.js                                             | JavaScript |         24 |          0 |          1 |         25 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/Camera/Camera.js                                 | JavaScript |         62 |          0 |          8 |         70 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/CameraButton/CameraButton.js                     | JavaScript |         43 |          0 |          3 |         46 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/Carousel/Carousel.js                             | JavaScript |         32 |          0 |          2 |         34 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/ImageMiddle/ImageMiddle.js                       | JavaScript |         25 |          0 |          3 |         28 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/LoadingContainer/LoadingContainer.js             | JavaScript |         20 |          0 |          4 |         24 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/LoadingHeaderContainer/LoadingHeaderContainer.js | JavaScript |         29 |          0 |          4 |         33 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/Post/Post.js                                     | JavaScript |        134 |          0 |         11 |        145 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/PostBottomContainer/PostBottomContainer.js       | JavaScript |        130 |          0 |          6 |        136 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/PostCard/PostCard.js                             | JavaScript |         80 |         10 |          7 |         97 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/PostCardsCarousel/PostCardsCarousel.js           | JavaScript |         18 |          0 |          3 |         21 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/PostsHeader/PostsHeader.js                       | JavaScript |         31 |          0 |          3 |         34 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/PostsList/PostsList.js                           | JavaScript |         57 |          0 |          8 |         65 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/components/index.js                                         | JavaScript |         26 |          0 |          1 |         27 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/countries.js                                      | JavaScript |          4 |          0 |          1 |          5 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/countryCodes.js                                   | JavaScript |          4 |          0 |          2 |          6 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/dimensions.js                                     | JavaScript |         20 |          0 |          1 |         21 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/enums.js                                          | JavaScript |          7 |          0 |          1 |          8 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/images.js                                         | JavaScript |          6 |          0 |          2 |          8 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/index.js                                          | JavaScript |         28 |          0 |          1 |         29 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/spacing.js                                        | JavaScript |          8 |          9 |          2 |         19 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/constants/typography.js                                     | JavaScript |         62 |          0 |          2 |         64 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/hooks/index.js                                              | JavaScript |          3 |          0 |          2 |          5 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/hooks/useLocation.js                                        | JavaScript |         18 |          0 |          2 |         20 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/hooks/useTheme.js                                           | JavaScript |          4 |          0 |          3 |          7 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/i18n/i18n.js                                                | JavaScript |         13 |          5 |          8 |         26 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/i18n/index.js                                               | JavaScript |          2 |          0 |          2 |          4 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/i18n/locales/en.json                                        | JSON       |         49 |          0 |          1 |         50 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/i18n/locales/sv.json                                        | JSON       |         17 |          0 |          1 |         18 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/i18n/translate.js                                           | JavaScript |          4 |          5 |          1 |         10 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/RootNavigator.js                                 | JavaScript |         27 |          0 |          4 |         31 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/routes.js                              | JavaScript |         17 |          0 |          1 |         18 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/AuthStack.js                    | JavaScript |         33 |          0 |          3 |         36 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/HomeStack.js                    | JavaScript |         46 |          0 |          3 |         49 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/IntroStack.js                   | JavaScript |          3 |          0 |          2 |          5 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/ProfileStack.js                 | JavaScript |         42 |          0 |          2 |         44 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/YesterdayStack.js               | JavaScript |          9 |          0 |          2 |         11 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/index.js                                         | JavaScript |          3 |          0 |          2 |          5 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/AuthNavigator.js                      | JavaScript |         27 |          0 |          4 |         31 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/HomeNavigator.js                      | JavaScript |        109 |          1 |         10 |        120 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/IntroNavigator.js                     | JavaScript |         26 |          0 |          4 |         30 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/ProfileNavigator.js                   | JavaScript |         26 |          0 |          4 |         30 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/YesterdayNavigator.js                 | JavaScript |         27 |          0 |          4 |         31 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/providers/AuthProvider.js                                   | JavaScript |         94 |          2 |         15 |        111 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/CameraScreen/CameraScreen.js                        | JavaScript |        409 |          6 |         31 |        446 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/HomeScreen/HomeScreen.js                            | JavaScript |         63 |          0 |          6 |         69 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/InfoScreen/InfoScreen.js                            | JavaScript |          6 |          0 |          2 |          8 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/LikedPostsScreen/LikedPostsScreen.js                | JavaScript |         54 |         69 |          8 |        131 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/LoginScreen/LoginScreen.js                          | JavaScript |         97 |          0 |          5 |        102 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/NotificationScreen/NotificationScreen.js            | JavaScript |          6 |          0 |          3 |          9 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/PostsScreen/PostsScreen.js                          | JavaScript |         47 |          0 |          5 |         52 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/ProfileScreen/ProfileScreen.js                      | JavaScript |        181 |         47 |         13 |        241 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/SettingsScreen/SettingsScreen.js                    | JavaScript |         32 |          0 |          5 |         37 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/SignUpScreen/SignUpScreen.js                        | JavaScript |        102 |          0 |          5 |        107 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/WelcomeScreen/WelcomeScreen.js                      | JavaScript |         81 |          0 |          3 |         84 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/YesterdayScreen/YesterdayScreen.js                  | JavaScript |        139 |          0 |         10 |        149 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/index.js                                            | JavaScript |         26 |          0 |          1 |         27 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/ThemeContext.js                                       | JavaScript |          3 |          0 |          3 |          6 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/ThemeProvider.js                                      | JavaScript |         40 |          0 |          6 |         46 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/darkTheme.js                                          | JavaScript |         26 |          6 |          6 |         38 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/defaultTheme.js                                       | JavaScript |          5 |          0 |          1 |          6 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/index.js                                              | JavaScript |          6 |          0 |          1 |          7 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/lightTheme.js                                         | JavaScript |         24 |         61 |          1 |         86 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/theme.js                                              | JavaScript |         10 |          0 |          2 |         12 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/countries.js                                          | JavaScript |          0 |          0 |          1 |          1 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/date.js                                               | JavaScript |         46 |          0 |          9 |         55 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/index.js                                              | JavaScript |          2 |          0 |          1 |          3 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/showSnackbar.js                                       | JavaScript |         21 |          0 |          3 |         24 |
| Total                                                                                                              |            |      3,640 |        221 |        358 |      4,219 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
